"restaurant_alias","restaurant_categories_0_alias","restaurant_categories_0_title","restaurant_categories_1_alias","restaurant_categories_1_title","restaurant_categories_2_alias","restaurant_categories_2_title","restaurant_coordinates_latitude","restaurant_coordinates_longitude","restaurant_display_phone","restaurant_distance","restaurant_id","restaurant_image_url","restaurant_is_closed","restaurant_location_address1","restaurant_location_address2","restaurant_location_address3","restaurant_location_city","restaurant_location_country","restaurant_location_display_address_0","restaurant_location_display_address_1","restaurant_location_display_address_2","restaurant_location_display_address_3","restaurant_location_state","restaurant_location_zip_code","restaurant_name","restaurant_phone","restaurant_price","restaurant_rating","restaurant_review_count","restaurant_transactions_0","restaurant_transactions_1","restaurant_transactions_2","restaurant_url"
"the-halal-guys-new-york-2","foodstands","Food Stands","mideastern","Middle Eastern","halal","Halal","40.7617559583","-73.9792299271","","182.040270732","xEnNFXtMLDF5kZDxfaCJgA","https://s3-media1.fl.yelpcdn.com/bphoto/24lb-VP2zVySsY9cq45ETw/o.jpg","False","W 53rd St 6th Ave","None","","New York","US","W 53rd St 6th Ave","New York, NY 10019","","","NY","10019","The Halal Guys","","$","4.0","9029","","","","https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=bGKek0APxR3pVmIijdf_Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bGKek0APxR3pVmIijdf_Gw"
"late-nite-hackensack-pizza-and-steak-hackensack","pizza","Pizza","tradamerican","American (Traditional)","italian","Italian","40.9007010516","-74.0414768602","(201) 342-5283","16495.4674208","MIw6bHTyZ5MmSQ_KzYwF4w","https://s3-media2.fl.yelpcdn.com/bphoto/SF4e-H2xFfASWzCstxI3Dw/o.jpg","False","691 Main St","None","","Hackensack","US","691 Main St","Hackensack, NJ 07601","","","NJ","07601","Late Nite Hackensack Pizza and Steak","+12013425283","$$","4.0","78","","","","https://www.yelp.com/biz/late-nite-hackensack-pizza-and-steak-hackensack?adjust_creative=bGKek0APxR3pVmIijdf_Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bGKek0APxR3pVmIijdf_Gw"
"buddakan-new-york","chinese","Chinese","bars","Bars","asianfusion","Asian Fusion","40.7422762672","-74.0048000962","(212) 989-6699","2981.04960486","nI1UYDCYUTt23TpGxqnLKg","https://s3-media4.fl.yelpcdn.com/bphoto/Avw19VU35-FZLen3nl9gYw/o.jpg","False","75 9th Ave","None","","New York","US","75 9th Ave","New York, NY 10011","","","NY","10011","Buddakan","+12129896699","$$$","4.0","3599","pickup","delivery","","https://www.yelp.com/biz/buddakan-new-york?adjust_creative=bGKek0APxR3pVmIijdf_Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bGKek0APxR3pVmIijdf_Gw"
"turntable-chicken-jazz-new-york-2","chicken_wings","Chicken Wings","korean","Korean","","","40.74828","-73.98649","(212) 714-9700","1493.07050941","JeCtYANe0eqW8xe1SN3lWg","https://s3-media1.fl.yelpcdn.com/bphoto/226oa9YsivDu6AOFvnT3pQ/o.jpg","False","20W 33rd St","","","New York","US","20W 33rd St","New York, NY 10001","","","NY","10001","Turntable Chicken Jazz","+12127149700","$$","4.0","1793","","","","https://www.yelp.com/biz/turntable-chicken-jazz-new-york-2?adjust_creative=bGKek0APxR3pVmIijdf_Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bGKek0APxR3pVmIijdf_Gw"
"the-meatball-shop-new-york","italian","Italian","tradamerican","American (Traditional)","","","40.7214961","-73.9887357","(212) 982-8895","4390.83805202","P4hm-IKNMbBbtfWSvPf25A","https://s3-media4.fl.yelpcdn.com/bphoto/tJVWQ2FY5TTT8Ks5NVCzwg/o.jpg","False","84 Stanton St","","","New York","US","84 Stanton St","New York, NY 10002","","","NY","10002","The Meatball Shop","+12129828895","$$","4.0","2684","pickup","delivery","","https://www.yelp.com/biz/the-meatball-shop-new-york?adjust_creative=bGKek0APxR3pVmIijdf_Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bGKek0APxR3pVmIijdf_Gw"
"great-ny-noodle-town-new-york","cantonese","Cantonese","noodles","Noodles","","","40.7150363829","-73.9971172437","(212) 349-0923","5262.79487457","d_TC6Om2EBTzHVm_lCgNtg","https://s3-media3.fl.yelpcdn.com/bphoto/BAzE7G6WNiUqJqLTRPYSvA/o.jpg","False","28 Bowery","","","New York","US","28 Bowery","New York, NY 10013","","","NY","10013","Great NY Noodle Town","+12123490923","$","3.5","1159","","","","https://www.yelp.com/biz/great-ny-noodle-town-new-york?adjust_creative=bGKek0APxR3pVmIijdf_Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bGKek0APxR3pVmIijdf_Gw"
"woorijip-authentic-korean-food-new-york","korean","Korean","","","","","40.74747","-73.98648","(212) 244-1115","1578.23966415","ogCC-lJJYnwXDvKGmKZ6Sw","https://s3-media4.fl.yelpcdn.com/bphoto/NZcGFutBjf1frDkslh6urw/o.jpg","False","12 W 32nd St","","","New York","US","12 W 32nd St","New York, NY 10001","","","NY","10001","Woorijip Authentic Korean Food","+12122441115","$","4.0","2458","","","","https://www.yelp.com/biz/woorijip-authentic-korean-food-new-york?adjust_creative=bGKek0APxR3pVmIijdf_Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bGKek0APxR3pVmIijdf_Gw"
"locanda-verde-new-york","italian","Italian","delis","Delis","cocktailbars","Cocktail Bars","40.7198601301","-74.0100390724","(212) 925-3797","5214.94921631","pk89jzL1RsE9U0thf_z6tw","https://s3-media3.fl.yelpcdn.com/bphoto/gaMeTVSZXGMOZUMwgWO7Fg/o.jpg","False","377 Greenwich St","","","New York","US","377 Greenwich St","New York, NY 10013","","","NY","10013","Locanda Verde","+12129253797","$$$","4.0","1488","","","","https://www.yelp.com/biz/locanda-verde-new-york?adjust_creative=bGKek0APxR3pVmIijdf_Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bGKek0APxR3pVmIijdf_Gw"
"los-tacos-no-1-new-york","tacos","Tacos","","","","","40.7425547","-74.0060838","(212) 256-0343","3042.1846359","jnEv25Y2DosTq2sNnvmC9g","https://s3-media2.fl.yelpcdn.com/bphoto/FU44TYl3PzXsE06G4W5aog/o.jpg","False","75 9th Ave","","","New York","US","75 9th Ave","New York, NY 10011","","","NY","10011","Los Tacos No.1","+12122560343","$","4.5","2461","","","","https://www.yelp.com/biz/los-tacos-no-1-new-york?adjust_creative=bGKek0APxR3pVmIijdf_Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bGKek0APxR3pVmIijdf_Gw"
"the-spotted-pig-new-york","burgers","Burgers","bars","Bars","breakfast_brunch","Breakfast & Brunch","40.735611","-74.006673","(212) 620-0393","3621.75592062","3LNcgFUGdwJil-KDQPZmdQ","https://s3-media3.fl.yelpcdn.com/bphoto/lnzeyicbLyHIqgHKhtCkMw/o.jpg","False","314 W 11th St","","","New York","US","314 W 11th St","New York, NY 10014","","","NY","10014","The Spotted Pig","+12126200393","$$$","3.5","2830","","","","https://www.yelp.com/biz/the-spotted-pig-new-york?adjust_creative=bGKek0APxR3pVmIijdf_Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bGKek0APxR3pVmIijdf_Gw"
